City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Gouré,13.9835,10.2704,80.62,8,42,8.12,NE,1618713612
Kurchum,48.5722,83.6542,51.91,54,8,6.78,KZ,1618713613
Hermanus,-34.4187,19.2345,71.01,24,0,1.99,ZA,1618713613
Kavieng,-2.5744,150.7967,83.55,73,55,9.98,PG,1618713596
Bacungan,9.9106,118.7022,84.2,74,90,9.22,PH,1618713614
Ushuaia,-54.8,-68.3,51.8,58,40,11.5,AR,1618713586
Rikitea,-23.1203,-134.9692,77.34,68,43,3.65,PF,1618713615
Vaini,-21.2,-175.2,80.6,65,40,5.75,TO,1618713615
Tocopilla,-22.092,-70.1979,67.6,67,2,6.89,CL,1618713615
Mataura,-46.1927,168.8643,59.36,68,50,7.92,NZ,1618713616
Pevek,69.7008,170.3133,27.01,81,7,18.45,RU,1618713616
Tarakan,3.3,117.6333,84.2,79,75,5.75,ID,1618713616
Plettenberg Bay,-34.0527,23.3716,66.87,37,0,4.09,ZA,1618713617
Zatoka,46.0725,30.4654,37.4,100,99,6.22,UA,1618713617
Hilo,19.7297,-155.09,74.52,54,75,9.22,US,1618713617
Yellowknife,62.456,-114.3525,33.03,75,75,10.36,CA,1618713462
Birjand,32.8663,59.2211,55.4,35,0,13.8,IR,1618713618
Gijang,35.2442,129.2139,59.0,36,40,11.5,KR,1618713618
Bethel,41.3712,-73.414,45.63,66,90,3.44,US,1618713346
Bilibino,68.0546,166.4372,26.4,68,3,6.49,RU,1618713619
Oddur,4.1213,43.8894,72.5,89,58,7.54,SO,1618713619
Fort Nelson,58.8053,-122.7002,42.8,75,90,5.75,CA,1618713620
Vangaindrano,-23.35,47.6,61.97,67,22,6.08,MG,1618713377
Biloela,-24.4167,150.5,80.46,39,0,8.66,AU,1618713367
Tufānganj,26.3167,89.6667,80.78,57,0,10.98,IN,1618713620
Nikolskoye,59.7035,30.7861,38.75,52,0,6.71,RU,1618713621
Byron Bay,-28.65,153.6167,68.59,64,90,14.97,AU,1618713622
Chilmāri,25.5559,89.6715,81.99,53,3,7.0,BD,1618713622
Hobart,-42.8794,147.3294,61.74,51,75,17.27,AU,1618713576
